"make","model","length","year","price","url"
"Bavaria","38 ft 1997 Bavaria 38 Holiday","38","1997","101773","https://au.yachtworld.com/boats/1997/bavaria-38-holiday-2352743/"
"Bavaria","47 ft 2007 Bavaria Cruiser 46","47","2007","106375","https://au.yachtworld.com/boats/2007/bavaria-cruiser-46-3032960/"
"Bavaria","44 ft 2004 Bavaria 44","44","2004","106375","https://au.yachtworld.com/boats/2004/bavaria-44-3608425/"
"Bavaria","44 ft 2004 Bavaria 44","44","2004","106375","https://au.yachtworld.com/boats/2004/bavaria-44-3571430/"
"Bavaria","42 ft 2004 Bavaria 42 Cruiser","42","2004","106375","https://au.yachtworld.com/boats/2004/bavaria-42-cruiser-2660723/"
"Bavaria","42 ft 2007 Bavaria 42 Cruiser","42","2007","106375","https://au.yachtworld.com/boats/2007/bavaria-42-cruiser-3497458/"
"Bavaria","42 ft 2001 Bavaria 42","42","2001","106375","https://au.yachtworld.com/boats/2001/bavaria-42-3465567/"
"Bavaria","42 ft 1997 Bavaria 41","42","1997","106375","https://au.yachtworld.com/boats/1997/bavaria-41-3602064/"
"Bavaria","40 ft 2001 Bavaria 40","40","2001","106375","https://au.yachtworld.com/boats/2001/bavaria-40-3500614/"
"Bavaria","40 ft 2005 Bavaria 42 Match","40","2005","106375","https://au.yachtworld.com/boats/2005/bavaria-42-match-3248802/"
"Bavaria","39 ft 1991 Bavaria 39 Lagoon Eignerv.","39","1991","106375","https://au.yachtworld.com/boats/1991/bavaria-39-lagoon-eignerv--3647226/"
"Bavaria","39 ft 2006 Bavaria 39 Cruiser","39","2006","106375","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-3234535/"
"Bavaria","39 ft 2008 Bavaria 38 Cruiser","39","2008","106375","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-2450723/"
"Bavaria","39 ft 2008 Bavaria 39 Cruiser","39","2008","106375","https://au.yachtworld.com/boats/2008/bavaria-39-cruiser-3584507/"
"Bavaria","39 ft 2006 Bavaria 39 Cruiser","39","2006","106375","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-3643346/"
"Bavaria","38 ft 2004 Bavaria 38","38","2004","106375","https://au.yachtworld.com/boats/2004/bavaria-38-3647858/"
"Bavaria","38 ft 1997 Bavaria 38 Exclusive","38","1997","106375","https://au.yachtworld.com/boats/1997/bavaria-38-exclusive-3645806/"
"Bavaria","38 ft 2004 Bavaria 38","38","2004","107454","https://au.yachtworld.com/boats/2004/bavaria-38-3583244/"
"Bavaria","39 ft 2007 Bavaria 39","39","2007","107552","https://au.yachtworld.com/boats/2007/bavaria-39-3595851/"
"Bavaria","39 ft 2000 Bavaria 38","39","2000","107552","https://au.yachtworld.com/boats/2000/bavaria-38-3612995/"
"Bavaria","45 ft 2002 Bavaria 44","45","2002","108012","https://au.yachtworld.com/boats/2002/bavaria-44-3138028/"
"Bavaria","45 ft 2002 Bavaria 44","45","2002","108012","https://au.yachtworld.com/boats/2002/bavaria-44-2666175/"
"Bavaria","41 ft 1997 Bavaria 41 Holiday","41","1997","108012","https://au.yachtworld.com/boats/1997/bavaria-41-holiday-3190827/"
"Bavaria","39 ft 2005 Bavaria 39","39","2005","108012","https://au.yachtworld.com/boats/2005/bavaria-39-3472370/"
"Bavaria","38 ft 2008 Bavaria 38 Cruiser","38","2008","108012","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-2988624/"
"Bavaria","40 ft 1997 Bavaria 38 Exclusive","40","1997","108207","https://au.yachtworld.com/boats/1997/bavaria-38-exclusive-3487142/"
"Bavaria","45 ft 2002 Bavaria 44","45","2002","109648","https://au.yachtworld.com/boats/2002/bavaria-44-3561432/"
"Bavaria","44 ft 2003 Bavaria 44 Cruiser","44","2003","109648","https://au.yachtworld.com/boats/2003/bavaria-44-cruiser-3652624/"
"Bavaria","42 ft 2001 Bavaria 42","42","2001","109648","https://au.yachtworld.com/boats/2001/bavaria-42-3559910/"
"Bavaria","40 ft 2008 Bavaria 40 Cruiser","40","2008","109648","https://au.yachtworld.com/boats/2008/bavaria-40-cruiser-3171392/"
"Bavaria","39 ft 2003 Bavaria 38 Cruiser","39","2003","109648","https://au.yachtworld.com/boats/2003/bavaria-38-cruiser-3647523/"
"Bavaria","40 ft 2001 Bavaria 40-2","40","2001","110467","https://au.yachtworld.com/boats/2001/bavaria-40-2-3570429/"
"Bavaria","43 ft 1992 Bavaria 430 Lagoon","43","1992","111285","https://au.yachtworld.com/boats/1992/bavaria-430-lagoon-3596441/"
"Bavaria","40 ft 2002 Bavaria Bavaria 41","40","2002","111285","https://au.yachtworld.com/boats/2002/bavaria-bavaria-41-3608035/"
"Bavaria","38 ft 2007 Bavaria 38","38","2007","111285","https://au.yachtworld.com/boats/2007/bavaria-38-3481024/"
"Bavaria","50 ft 2002 Bavaria 50 / VAT PAID","50","2002","112103","https://au.yachtworld.com/boats/2002/bavaria-50-vat-paid-3585818/"
