"model","length","year","price","url"
"45 ft 2008 Hunter 45 Deck Salon","45","2008","289680","https://au.yachtworld.com/boats/2008/hunter-45-deck-salon-3525360/"
"45 ft 2008 Hunter 45","45","2008","294206","https://au.yachtworld.com/boats/2008/hunter-45-3541996/"
"45 ft 2007 Hunter 45 Centre Cockpit","45","2007","294206","https://au.yachtworld.com/boats/2007/hunter-45-centre-cockpit-3567634/"
"43 ft 2007 Hunter 45 Center Cockpit","43","2007","294206","https://au.yachtworld.com/boats/2007/hunter-45-center-cockpit-3525917/"
"49 ft 2007 Hunter 49","49","2007","297224","https://au.yachtworld.com/boats/2007/hunter-49-3614326/"
"49 ft 2007 Hunter 49","49","2007","300241","https://au.yachtworld.com/boats/2007/hunter-49-3198843/"
"45 ft 2006 Hunter 45 Center Cockpit","45","2006","300241","https://au.yachtworld.com/boats/2006/hunter-45-center-cockpit-2580643/"
"45 ft 2007 Hunter 45 Center Cockpit","45","2007","318274","https://au.yachtworld.com/boats/2007/hunter-45-center-cockpit-3581164/"
"45 ft 2007 Hunter 45 Center Cockpit","45","2007","318274","https://au.yachtworld.com/boats/2007/hunter-45-center-cockpit-3470080/"
"49 ft 2008 Hunter 49","49","2008","324381","https://au.yachtworld.com/boats/2008/hunter-49-2718542/"
"47 ft 2007 Hunter 49","47","2007","325890","https://au.yachtworld.com/boats/2007/hunter-49-3600984/"
"49 ft 2010 Hunter OV","49","2010","345504","https://au.yachtworld.com/boats/2010/hunter-ov-3646139/"
"45 ft 2009 Hunter 45 Deck Salon","45","2009","360441","https://au.yachtworld.com/boats/2009/hunter-45-deck-salon-3075844/"
"50 ft 2009 Hunter 50","50","2009","360952","https://au.yachtworld.com/boats/2009/hunter-50-3557482/"
"49 ft 2009 Hunter 49","49","2009","374768","https://au.yachtworld.com/boats/2009/hunter-49-3504440/"
"49 ft 2009 Hunter 49","49","2009","375679","https://au.yachtworld.com/boats/2009/hunter-49-3574386/"
"50 ft 2010 Hunter 50 Center Cockpit","50","2010","414756","https://au.yachtworld.com/boats/2010/hunter-50-center-cockpit-3592873/"
"49 ft 2010 Hunter 49","49","2010","434520","https://au.yachtworld.com/boats/2010/hunter-49-3643046/"
